,flight,player,segment,capacity,flight_pax,pax_per_iti,depart_time,load_factor
84,OT25,others,"('SEA', 'ANC')",124,79.69498398564768,"(78.04110989549754, 1.653874090150146)","[900, 775]",0.6427014837552233
85,OT26,others,"('SEA', 'ANC')",124,77.5999152240073,"(77.5999152240073,)",[1200],0.6258057679355428
86,OT27,others,"('SEA', 'LAX')",124,124.00011823972697,"(122.80885968581183, 1.1912585539151523)","[425, 45]",1.0000009535461853
87,OT28,others,"('SEA', 'LAX')",124,124.00006879371661,"(124.00006879371661,)",[680],1.000000554788037
88,OT29,others,"('SEA', 'LAX')",124,124.00006685766324,"(124.00006685766324,)",[753],1.0000005391747036
89,OT30,others,"('SEA', 'LAX')",72,72.00008294229289,"(72.00008294229289,)",[788],1.0000011519762901
90,OT31,others,"('SEA', 'LAX')",124,124.00011952170448,"(124.00006757009507, 5.195160940729693e-05)","[885, 775]",1.0000009638847136
91,OT32,others,"('SEA', 'LAX')",124,124.00006757883318,"(124.00006757883318,)",[1002],1.0000005449905902
92,OT33,others,"('SEA', 'LAX')",124,124.00006824882448,"(124.00006824882448,)",[1070],1.0000005503937457
93,OT34,others,"('SEA', 'PDX')",72,72.00013874585912,"(72.00008697377135, 5.177208777240594e-05)","[665, 665]",1.0000019270258211
94,OT35,others,"('SEA', 'PDX')",72,72.00013893346231,"(72.0000875949272, 5.1338535115519335e-05)","[1100, 875]",1.0000019296314209
95,OT36,others,"('SEA', 'PDX')",72,72.00008630271125,"(72.00008630271125,)",[1315],1.0000011986487674
