,player,market,depart_time,travel_time,price,pax,passenger_type,denominator,demand,connections
314,AS,"('PDX', 'LAX')",420,300,247.5625848260827,0.6430548350761434,c,0.2,164.21820936,SEA
315,AS,"('PDX', 'LAX')",420,300,251.85489356833833,0.974196023717147,d,0.2,259.1444332656,SEA
316,AS,"('PDX', 'LAX')",420,300,248.4604974642926,0.7177789303294323,e,0.2,187.92165724,SEA
317,AS,"('PDX', 'LAX')",420,300,259.9561772865559,1.386468970638192,f,0.2,376.9403980704,SEA
318,AS,"('PDX', 'SEA')",420,54,240.22366754481158,21.15822928498845,a,0.2,81.93684761600001,None
319,AS,"('PDX', 'SEA')",420,54,245.80449926501285,33.92042099670144,b,0.2,129.521035552,None
320,AS,"('PDX', 'SEA')",420,54,234.52344942406006,16.747599301043486,c,0.2,65.89537440000001,None
321,AS,"('PDX', 'SEA')",420,54,238.8672279323956,25.936739354075133,d,0.2,103.986150624,None
322,AS,"('PDX', 'SEA')",420,54,233.52953096054023,18.79637793592873,e,0.2,75.4067896,None
323,AS,"('PDX', 'SEA')",420,54,241.98457612370436,37.54574046160387,f,0.2,151.25380281600002,None
324,AS,"('PDX', 'ANC')",575,235,204.54577848178536,6.8927969251365635,a,0.2,26.5216638336,None
325,AS,"('PDX', 'ANC')",575,235,203.09961000293129,11.410743488899067,b,0.2,41.92391413920001,None
326,AS,"('PDX', 'ANC')",575,235,209.2676579794829,5.768773098602473,c,0.2,21.32929224,None
327,AS,"('PDX', 'ANC')",575,235,202.01234921788603,8.799161452769365,d,0.2,33.6586750704,None
328,AS,"('PDX', 'ANC')",575,235,204.63674893854062,6.163286903557266,e,0.2,24.40798716,None
329,AS,"('PDX', 'ANC')",575,235,197.2670251640112,12.342234940477928,f,0.2,48.958467753600004,None
330,AS,"('SEA', 'LAX')",380,150,326.24574521987995,20.92112396737349,a,0.2,368.0689444224,None
331,AS,"('SEA', 'LAX')",380,150,337.25762392470125,32.745223967276374,b,0.2,581.8221254928,None
332,AS,"('SEA', 'LAX')",380,150,313.3977362829566,15.54036231662865,c,0.2,296.00895816,None
333,AS,"('SEA', 'LAX')",380,150,327.88115576376464,23.874115312289096,d,0.2,467.1167345136,None
334,AS,"('SEA', 'LAX')",380,150,319.69173131124876,17.003260968116315,e,0.2,338.73523644,None
335,AS,"('SEA', 'LAX')",380,150,340.6488246217979,33.91590339734543,f,0.2,679.4480037024,None
